Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥140 days prior,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,89.1,88.3,89.9,,delta,~7.5 weeks
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,symptomatic disease,symptomatic,England,50+ years,≥ 50 years,93.8,93.3,94.3,,delta,~7.5 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,62.7,62.0,63.4,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,44.1,42.2,45.9,omicron,omicron,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,18+ years,general pop,95.4,95.2,95.7,delta,delta,~14 weeks
11,Andrews,Test-negative case-control,14Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,18+ years,general pop,88.5,87.0,89.7,delta,delta,~14 weeks
12,Berec,Retrospective cohort,12Dec2021,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,complete vaccination with 2 doses ≥6-8 months prior,7+,infection,infection,Czech Republic,18+ years,general pop,82.0,68.0,90.0,,delta,~8 weeks
28,Spensley,Prospective cohort,26Jan2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),included,unvaccinated individuals,14+,infection,infection,UK,end stage kidney disease patients,end stage kidney disease patients,47.0,2.0,70.0,omicron,omicron,~15 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,14-60,hospitalization,severe,Finland,70+ years,≥ 70 years,98.0,91.0,99.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
49,Baum,Retrospective cohort,06Jul2022,AZD1222 (AstraZeneca),BNT162b2 (Pfizer),excluded,unvaccinated individuals,61+,hospitalization,severe,Finland,70+ years,≥ 70 years,88.0,78.0,93.0,,"non-VOC, alpha, delta, & omicron",~20.5 weeks
